"age","balance","day","duration","job","marital","y"
"58","2143","5","261","management","married","no"
"44","29","5","151","technician","single","no"
"33","2","5","76","entrepreneur","married","no"
"47","1506","5","92","blue-collar","married","no"
"33","1","5","198","unknown","single","no"
"35","231","5","139","management","married","no"
"28","447","5","217","management","single","no"
"42","2","5","380","entrepreneur","divorced","no"
"58","121","5","50","retired","married","no"
"43","593","5","55","technician","single","no"
"41","270","5","222","admin.","divorced","no"
"29","390","5","137","admin.","single","no"
"53","6","5","517","technician","married","no"
"58","71","5","71","technician","married","no"
"57","162","5","174","services","married","no"
"51","229","5","353","retired","married","no"
"45","13","5","98","admin.","single","no"
"57","52","5","38","blue-collar","married","no"
"60","60","5","219","retired","married","no"
"33","0","5","54","services","married","no"
"28","723","5","262","blue-collar","married","no"
"56","779","5","164","management","married","no"
"32","23","5","160","blue-collar","single","no"
"25","50","5","342","services","married","no"
"40","0","5","181","retired","married","no"
"44","-372","5","172","admin.","married","no"
"39","255","5","296","management","single","no"
"52","113","5","127","entrepreneur","married","no"
"46","-246","5","255","management","single","no"
"36","265","5","348","technician","single","no"
"57","839","5","225","technician","married","no"
"49","378","5","230","management","married","no"
"60","39","5","208","admin.","married","no"
"59","0","5","226","blue-collar","married","no"
"51","10635","5","336","management","married","no"
"57","63","5","242","technician","divorced","no"
"25","-7","5","365","blue-collar","married","no"
"53","-3","5","1666","technician","married","no"
"36","506","5","577","admin.","divorced","no"
"37","0","5","137","admin.","single","no"
"44","2586","5","160","services","divorced","no"
"50","49","5","180","management","married","no"
"60","104","5","22","blue-collar","married","no"
"54","529","5","1492","retired","married","no"
"58","96","5","616","retired","married","no"
"36","-171","5","242","admin.","single","no"
"58","-364","5","355","self-employed","married","no"
"44","0","5","225","technician","married","no"
"55","0","5","160","technician","divorced","no"
"29","0","5","363","management","single","no"
"54","1291","5","266","blue-collar","married","no"
"48","-244","5","253","management","divorced","no"
"32","0","5","179","management","married","no"
"42","-76","5","787","admin.","single","no"
"24","-103","5","145","technician","single","no"
"38","243","5","174","entrepreneur","single","no"
"38","424","5","104","management","single","no"
"47","306","5","13","blue-collar","married","no"
"40","24","5","185","blue-collar","single","no"
"46","179","5","1778","services","married","no"
"32","0","5","138","admin.","married","no"
"53","989","5","812","technician","divorced","no"
"57","249","5","164","blue-collar","married","no"
"33","790","5","391","services","married","no"
"49","154","5","357","blue-collar","married","no"
"51","6530","5","91","management","married","no"
"60","100","5","528","retired","married","no"
"59","59","5","273","management","divorced","no"
"55","1205","5","158","technician","married","no"
"35","12223","5","177","blue-collar","single","no"
"57","5935","5","258","blue-collar","married","no"
"31","25","5","172","services","married","no"
"54","282","5","154","management","married","no"
"55","23","5","291","blue-collar","married","no"
"43","1937","5","181","technician","married","no"
"53","384","5","176","technician","married","no"
"44","582","5","211","blue-collar","married","no"
"55","91","5","349","services","divorced","no"
"49","0","5","272","services","divorced","no"
"55","1","5","208","services","divorced","no"
"45","206","5","193","admin.","single","no"
"47","164","5","212","services","divorced","no"
"42","690","5","20","technician","single","no"
"59","2343","5","1042","admin.","married","yes"
"46","137","5","246","self-employed","married","no"
"51","173","5","529","blue-collar","married","no"
"56","45","5","1467","admin.","married","yes"
"41","1270","5","1389","technician","married","yes"
"46","16","5","188","management","divorced","no"
"57","486","5","180","retired","married","no"
"42","50","5","48","management","single","no"
"30","152","5","213","technician","married","no"
"60","290","5","583","admin.","married","no"
"60","54","5","221","blue-collar","married","no"
"57","-37","5","173","entrepreneur","divorced","no"
"36","101","5","426","management","married","no"
"55","383","5","287","blue-collar","married","no"
"60","81","5","101","retired","married","no"
"39","0","5","203","technician","married","no"
"46","229","5","197","management","married","no"
"44","-674","5","257","blue-collar","married","no"
"53","90","5","124","blue-collar","married","no"
"52","128","5","229","blue-collar","married","no"
"59","179","5","55","blue-collar","married","no"
"27","0","5","400","technician","single","no"
"44","54","5","197","blue-collar","married","no"
"47","151","5","190","technician","married","no"
"34","61","5","21","admin.","married","no"
"59","30","5","514","retired","single","no"
"45","523","5","849","management","married","no"
"29","31","5","194","services","divorced","no"
"46","79","5","144","technician","divorced","no"
"56","-34","5","212","self-employed","married","no"
"36","448","5","286","blue-collar","married","no"
"59","81","5","107","retired","divorced","no"
"44","144","5","247","blue-collar","married","no"
"41","351","5","518","admin.","married","no"
"33","-67","5","364","management","single","no"
"59","262","5","178","management","divorced","no"
"57","0","5","98","technician","married","no"
"56","56","5","439","technician","divorced","no"
"51","26","5","79","blue-collar","married","no"
"34","3","5","120","admin.","married","no"
"43","41","5","127","services","married","no"
"52","7","5","175","technician","married","no"
"33","105","5","262","technician","single","no"
"29","818","5","61","admin.","single","no"
"34","-16","5","78","services","married","no"
"31","0","5","143","blue-collar","married","no"
"55","2476","5","579","services","married","yes"
"55","1185","5","677","management","married","no"
"32","217","5","345","admin.","single","no"
"38","1685","5","185","technician","single","no"
"55","802","5","100","admin.","single","no"
"28","0","5","125","unemployed","single","no"
"23","94","5","193","blue-collar","married","no"
"32","0","5","136","technician","single","no"
"43","0","5","73","services","single","no"
"32","517","5","528","blue-collar","married","no"
"46","265","5","541","blue-collar","married","no"
"53","947","5","163","housemaid","divorced","no"
"34","3","5","301","self-employed","single","no"
"57","42","5","46","unemployed","married","no"
"37","37","5","204","blue-collar","married","no"
"59","57","5","98","blue-collar","married","no"
"33","22","5","71","services","married","no"
"56","8","5","157","blue-collar","divorced","no"
"48","293","5","243","unemployed","married","no"
"43","3","5","186","services","married","no"
"54","348","5","579","blue-collar","married","no"
"51","-19","5","163","blue-collar","married","no"
"26","0","5","610","student","single","no"
"40","-4","5","2033","management","married","no"
"39","18","5","85","management","married","no"
"50","139","5","114","technician","married","no"
"41","0","5","114","services","married","no"
"51","1883","5","57","blue-collar","married","no"
"60","216","5","238","retired","divorced","no"
"52","782","5","93","blue-collar","married","no"
"48","904","5","128","blue-collar","married","no"
"48","1705","5","107","services","married","no"
"39","47","5","181","technician","single","no"
"47","176","5","303","services","single","no"
"40","1225","5","558","blue-collar","married","no"
"45","86","5","270","technician","married","no"
"26","82","5","228","admin.","single","no"
"52","271","5","99","management","married","no"
"54","1378","5","240","technician","married","no"
"54","184","5","673","admin.","married","yes"
"50","0","5","233","blue-collar","married","no"
"35","0","5","1056","blue-collar","married","no"
"44","1357","5","250","services","married","no"
"53","19","5","252","entrepreneur","married","no"
"35","434","5","138","retired","single","no"
"60","92","5","130","admin.","divorced","no"
"53","1151","5","412","admin.","divorced","no"
"48","41","5","179","unemployed","married","no"
"34","51","5","19","technician","married","no"
"54","214","5","458","services","married","no"
"51","1161","5","717","management","married","no"
"31","37","5","313","services","married","no"
"35","787","5","683","technician","divorced","no"
"35","59","5","1077","services","married","no"
"38","253","5","416","technician","married","no"
"36","211","5","146","admin.","married","no"
"58","235","5","167","retired","married","no"
"40","4384","5","315","services","divorced","no"
"54","4080","5","140","management","married","no"
"34","53","5","346","blue-collar","single","no"
"31","0","5","562","management","single","no"
